title,author,date,content,class
"Sekolah di Korea Batasi ""Smartphone"" lewat Aplikasi",Oik Yusuf,"Sabtu, 22 Maret 2014","KOMPAS.com — Dengan segala kemampuan yang dimilikinya, smartphone berguna membantu kegiatan belajar-mengajar, tetapi juga berpotensi mengalihkan konsentrasi siswa di kelas. Menyadari hal ini, menurut laporan Mashable, sejumlah sekolah di Korea Selatan bereksperimen memakai software untuk membatasi pemakaian gadget pintar tersebut ketika sedang belajar. Software bernama ""iSmartKeeper"" tersebut sedang diuji coba oleh setidaknya 11 sekolah di Seoul dan sekitarnya. Siswa diharuskan mengunduh versi mobile dari program tersebut sehingga para guru bisa mengendalikan ponsel mereka lewat desktop. Para pengajar bisa mengunci ponsel (milik siswa) di sekolah dan hanya membolehkan panggilan darurat. Bisa pula diatur agar smartphone hanya bisa menelepon, SMS, atau mematikan aplikasi tertentu. Dengan demikian, para guru bisa memblokir aplikasi yang berpotensi mengganggu kegiatan belajar-mengajar secara spesifik, misalnya layanan media sosial dan pesan instan. Sementara itu, aplikasi-aplikasi edukasi tetap bisa digunakan. ""iSmartKeeper"" menggunakan data lokasi untuk melacak para siswa dan hanya mengaktifkan pembatasan-pembatasan tersebut saat mereka berada di sekolah. Program ini didukung oleh Kantor Pendidikan Metropolitan Seoul. Rencananya, penggunaan aplikasi yang masih diuji coba itu akan diperluas ke sekolah-sekolah lain. ""Sejauh ini sudah 600 sekolah dari seluruh negeri yang tertarik menggunakan program tersebut. Sebanyak 30.000 siswa telah terdaftar di dalam sistemnya,"" ujar Profesor Han Gyu-sang dari Gongju National University of Education, yang telibat dalam pengembangan iSmartKeeper. Aplikasi yang bersangkutan juga menyediakan tool untuk orangtua yang tertarik memberlakukan batasan serupa pada smartphone anak mereka, ketika berada di rumah. Saat ini, iSmartKeeper baru tersedia untuk smartphone Android. Namun, Gyu-sang mengatakan, versi iPhone dari aplikasi itu akan segera dirilis pada bulan depan.",teknologi
Samsung Patenkan Kamera Layar Transparan,Oik Yusuf,"Minggu, 23 Maret 2014","KOMPAS.com - Pengguna kamera biasanya tak melakukan kontak mata secara langsung dengan subyek foto yang dipandang melalui jendela bidik atau layar LCD. Samsung rupanya berniat mengubah hal tersebut melalui paten kamera dengan teknologi layar transparan. Sebagaimana dilaporkan oleh BGR, kamera dengan layar transparan ini tak hanya memungkinkan pengguna kamera melihat gambar yang diambil tapi juga memandang langsung ke arah subyek foto.""Desain kamera digital ini melibatkan layar transparan sehingga pengambil gambar dan subyek foto bisa saling memandang dan menjaga kontak mata secara langsung"" jelas deskripsi dalam paten yang diresmikan di Korea Selatan tersebut. Entah layar transparan benar-benar diperlukan atau malah mempersulit pengambilan gambar. Yang jelas, kecuali layar tersebut, konsep kamera dari Samsung ini agaknya tak menawarkan kelebihan lain untuk meningkatkan kualitas foto. Dalam gambar di dokumen paten, perangkat ini terlihat tipis dan lebih mirip kamera saku dibandingkan model profesional. Kamera konsep tersebut akan turut dibekali komponen-komponen dasar seperti lensa, flash, tombol power, dan tentu saja, layar lebar yang transparan. Dimensi fisiknya sendiri tak dijabarkan sehingga ukuran asli kamera ini, apabila nanti benar-benar terwujud, belum bisa ditebak. Samsung belakangan memang terus mencoba berinovasi untuk menembus pasar kamera yang selama ini didominasi oleh perusahaan Jepang. Raksasa elektronik Korea itu telah menelurkan sejumlah model kamera, termasuk dari jenis mirrorless dan kamera yang dilengkapi sistem operasi Android.",teknologi
Oakley dan Ray-Ban Siap Rancang Google Glass,Deliusno,"Selasa, 25 Maret 2014","KOMPAS.com � Desain kacamata pintar Google Glass tampaknya akan semakin modis. Google baru saja mengumumkan kerja samanya dengan Luxottica, perusahaan induk dari berbagai produsen kacamata terkenal, seperti Ray-Ban dan Oakley. Seperti dikutip dari The Verge, Selasa (25/3/2014), nantinya Google dan Luxottica akan bekerja sama dalam merancang dan memproduksi produk eksklusif dari Google Glass Menurut laman FAQ yang disediakan oleh Google, perusahaan raksasa internet tersebut hanya akan bekerja sama dengan Luxottica untuk urusan desain Sementara itu, urusan produksi dan distribusi dari perangkat tersebut akan diserahkan sepenuhnya kepada pihak Luxottica. Untuk awalnya, perangkat hasil kerja sama tersebut baru akan dipasarkan di Amerika Serikat dan difokuskan ke merek Oakley dan Ray-Ban saja. Tidak diumumkan, apakah produk tersebut akan dijual di luar negara itu atau tidak. Kapan tepatnya perangkat ini akan hadir di pasar? Tampaknya, perangkat tersebut masih belum akan hadir dalam waktu dekat ini. ""Anda tidak akan melihat Glass di toko Oakley atau Ray-Ban besok, tetapi hari ini menandai dimulainya babak baru dalam desain Glass,"" tulis Google dalam akun Google Plus resminya. Saat ini, Google memang sedang bekerja keras untuk membuat kacamata pintarnya dapat dipakai oleh siapa saja. Beberapa waktu lalu, Google memperkenalkan desain bingkai untuk Glass agar bisa dipakai oleh pengguna yang memang memakai kacamata dalam kesehariannya. Saat ini Google hanya menyediakan empat jenis bingkai kacamata, tetapi ke depannya bisa jadi ada model lain yang diperkenalkan Google. Bingkai kacamata ini diperkenalkan Google sebagai langkah berikutnya, sebelum produk tersebut dijual secara umum kepada konsumen. Saat ini, bingkai kacamata tersebut masih tersedia terbatas pada pengguna yang mengikuti program ""Explorer"" yang dilakukan Google untuk menguji kacamata pintarnya. Namun, bingkai ini dibuat Google bukan untuk digunakan sebagai kacamata biasa. Rancangannya membuat pengguna hanya akan nyaman saat menggunakannya bersama Google Glass.",teknologi
Macbook Air Bakal Ada Versi 12 Inci,Oik Yusuf,"Rabu, 26 Maret 2014","KOMPAS.com - Sejak 2010, penampilan fisik MacBook Air boleh dibilang hampir tak mengalami perubahan. Selama bertahun-tahun, laptop ini mengusung faktor bentuk yang sama, dengan panel layar yang sama pula. Hal tersebut boleh jadi akan segera berubah, karena Apple selaku produsen MacBook Air dikabarkan sedang bersiap memperbarui lini produk laptop tipis itu. Informasi terkini yang beredar menyebutkan bahwa sebuah model baru dengan resolusi layar 12 inci bakal ditambahkan ke keluarga MacBook Air yang selama ini terdiri dari model 11,6 dan 13,3 inci. Bukan cuma itu, sebagaimana dikutip dari BGR, ketiga seri laptop MacBook Air baru tersebut kabarnya bakal dibekali layar resolusi tinggi alias Retina Display. Perubahan lain mencakup sistem pendinginan fanless dan rancangan trackpad baru yang menghilangkan tombol mekanik. Apple belakangan memang mendapat hak atas trackpad dengan sensor dan actuator yang tak memerlukan tombol fisik. Dengan begini, dimensi laptop MacBook Air yang sudah tipis bisa ""dilangsingkan"" lebih jauh. Akan halnya MacBook Air 12 inci, masih belum kapan ia akan meluncur (kalaupun benar-benar ada) dan berapa harganya. Yang jelas, ini bukan merupakan kali pertama kabar tentang MacBook Air 12 inci muncul ke permukaan.  Oktober 2013 lalu, analis KGI Securities Ming-Chi Kuo yang terkenal bisa memprediksi produk masa depan Apple dengan akurat juga pernah menyebutkan bahwa Apple berencana menambah model 12 inci ke jajaran MacBook Air.""Kami perkirakan model 12 inci yang belum pernah ada sebelumnya ini bakal menggabungkan aspek portabilitas dari model 11 inci dan produktivitas model 13 inci,"" kata Kuo ketika itu. Dia juga menyebutkan bahwa display resolusi tinggi pada MacBook Air generasi mendatang bakal tampilan layarnya sebagus MacBook Pro with Retina Display.",teknologi
Cuma 2 Versi Nokia X Masuk Indonesia,Aditya Panji,"Kamis, 27 Maret 2014","JAKARTA, KOMPAS.com - Ponsel pintar Nokia yang berbasis Android sejatinya terdiri atas tiga model, yakni Nokia X, Nokia X Plus, dan Nokia XL. Model Nokia X dipastikan masuk pasar Indonesia pada 12 April 2014. Lalu, bagaimana dengan model Nokia X Plus dan Nokia XL? Product Manager Nokia Indonesia, Wirda Haryany, enggan memberi kepastian soal kehadiran Nokia X Plus dan Nokia XL di Indonesia. ""Kami akan kasih informasi kalau ada update soal produk baru,"" katanya dalam jumpa pers di Jakarta, Kamis (27/3/2014). Namun, seorang sumber terpercaya mengatakan kepada KompasTekno, bahwa Nokia XL akan masuk pasar Indonesia. Sementara itu, model Nokia X Plus tidak masuk Indonesia. Sayangnya, sumber itu tidak memberi kepastian soal tanggal dan harga Nokia XL. Nokia XL nampaknya akan dijual lebih mahal dari Nokia X yang dibanderol Rp 1,6 juta. Karena, ada beberapa spesifikasi yang ditingkatkan pada Nokia XL. Perbedaan Nokia X dan Nokia XL Nokia XL punya kelebihan pada kapasitas RAM yang lebih besar, yaitu 768 MB, layar lebih besar seluas 5 inci, dan kapasitas baterai 2.000 mAh. Kamera belakang Nokia XL sama-sama dibekali sensor 5 MP, namun dilengkapi lampu kilat LED dan kamera depan. Sementara Nokia X hanya dibekali RAM 512 MB, baterai 1.500 mAh, dan ukuran layar 4 inci. Kamera belakang tidak dilengkapi dengan lampu kilat LED dan tidak ada kamera depan. Selebihnya, antara Nokia X dan Nokia XL punya spesifikasi yang sama. Dapur pacu ponsel itu ditopang oleh prosesor Qualcomm MSM8225 Snapdragon S4 Play jenis dual-core Cortex-A5 1 GHz, mendukung kartu SIM ganda (GSM), dan memanfaatkan basis sistem operasi Android 4.1.2 (Jelly Bean) yang telah dimodifikasi oleh Nokia. Sistem operasi itu disebut Nokia X Platform Software. Dalam mengembangkan Android, Nokia hanya memanfaatkan lisensi Android Open Source Project (AOSP) dari Google yang bisa digunakan siapa saja secara gratis karena sistem operasi ini bersifat terbuka (open source). Dengan ini, perusahaan bisa mengubah tampilan antarmuka Android di Nokia X sehingga terlihat seperti tampilan Windows Phone, yang kental dengan nuansa kotak-kotak. Sementara itu, Nokia tidak membeli lisensi layanan mobile Google yang disebut Google Mobile Service (GMS). Oleh karenanya, ponsel seri Nokia X tidak menyediakan aplikasi dan layanan Google secara default, yakni Gmail, Youtube, Google Maps, Hangouts, Play Store, hingga jejaring sosial Google+. Bahkan, sistem Nokia X tidak mendukung antarmuka pemrograman aplikasi atau application programming interface (API) buatan Google. Nokia meminta agar aplikasi-aplikasi Android yang memanfaatkan API Google dimodifikasi, dan menggunakan API buatan Nokia.",teknologi
"""Mention"" Foto di Twitter Kini Hemat Karakter",Oik Yusuf,"Kamis, 27 Maret 2014","KOMPAS.com — Apabila ingin menambahkan tag foto dalam tweet ke orang yang dituju, pengguna Twitter biasanya me-mention nama akun orang yang bersangkutan. 

Selain kurang praktis, hal ini juga menghabiskan jatah 140 karakter dalam tiap tweet, apalagi jika mention melibatkan banyak orang sekaligus, seperti dalam kasus group photo.

Kini, mention foto yang menghabiskan karakter tak perlu terjadi lagi karena Twitter telah menambahkan fitur tag foto dalam layanannya, Rabu (26/3/2014), sebagaimana dilaporkan oleh TechCrunch.

Tag foto tersebut tak akan menghabiskan jatah 140 karakter. Setiap foto yang di-tag akan muncul di tab ""interactions"" dari pengguna, seperti halnya tweet reguler yang diimbuhi mention ""username"". 

Cara memakainya mudah saja. Pengguna cukup menyeleksi gambar yang diunggah dan memilih tautan ""who's in this photo?"" yang kemudian muncul di bagian bawah. Jumlah tag dalam foto bisa mencapai 10 pengguna lain.

Twitter Fitur kolase foto di Twitter
Tak ingin di-tag sembarangan dalam sebuah gambar? Setting privasi di Twitter turut menyediakan opsi untuk mengatur siapa saja yang bisa melakukan tagging nama akun pengguna. 

Pilihan default untuk parameter ini adalah ""Allow anyone to tag me in photos"". Pengguna pun bisa mengaturnya lagi, hanya orang yang telah di-follow saja yang bisa menambah tag pengguna. Fitur tagging foto dapat pula dimatikan sepenuhnya. Jika diinginkan, tag juga bisa dihapus.

Twitter telah mulai menerapkan fasilitas tagging foto ini, dimulai dari aplikasi mobile untuk iPhone dan Android. Versi web akan menyusul kemudian.

Di samping itu, Twitter turut memperkenalkan fitur kolase foto yang dengannya pengguna bisa mengunggah hingga empat foto sekaligus dalam sebuah tweet. Keempat foto itu lantas akan disusun menjadi kolase secara otomatis.",teknologi
"Di Indonesia, Tiang Lampu Jalan Bisa Jadi BTS Mini",Aditya Panji,"Kamis, 27 Maret 2014","JAKARTA, KOMPAS.com — Perusahaan penyedia infrastruktur dan layanan telekomunikasi Ericsson menyediakan solusi telekomunikasi yang memungkinkan tiang lampu di jalan raya sebagai media untuk pemancar sinyal seluler dan internet.

Perusahaan asal Swedia itu telah memperkenalkan inovasi barunya berupa perangkat radio berukuran kecil atau semacam BTS mini yang disebut Radio Dot System (RDS). Produk ini akan dipasarkan serentak di seluruh dunia pada September 2013.

Ericsson mengatakan, pihaknya akan menawarkan produk tersebut kepada operator telekomunikasi di Indonesia. RDS dapat menjangkau hingga 600 meter. Dengan ukuran yang kecil, produk itu bisa digunakan di ruang publik dan perkantoran.

CEO Ericsson Hans Vestberg menyatakan, RDS dapat membantu operator telekomunikasi untuk memperkuat layanan di ruang publik atau perkantoran serta menekan angka belanja modal.

""RDS cocok dipasangkan di dalam ruangan atau di tiang lampu jalan untuk memberi layanan seluler dan internet yang lebih baik bagi perusahaan telekomunikasi di ruang publik,"" kata Vestberg dalam wawancara terbatas dengan sejumlah jurnalis di Jakarta, Rabu (26/3/2014).

Ericsson memandang Indonesia merupakan pasar yang sangat penting. Ini karena, di kawasan Asia Tenggara, Indonesia memberi kontribusi terbesar bagi penjualan perangkat dan layanan telekomunikasi Ericsson.

Pasar Ericsson di Asia Tenggara tumbuh sebesar 5 persen dibandingkan tahun sebelumnya. Pertumbuhan itu sejalan dengan banyaknya operator telekomunikasi di negara berkembang yang terus membangun infrastruktur, mulai dari 2G, 3G, hingga 4G LTE.

Sementara itu, di pasar Jepang dan China, penjualan Ericsson menurun 24 persen lantaran volume pembangunan infrastruktur telekomunikasi di sana cenderung menurun. Penurunan disebabkan oleh sudah matangnya pembangunan infrastruktur telekomunikasi 3G dan 4G.

Ericsson mencatat pendapatan sebesar 117,7 miliar krona Swedia, tumbuh sangat kecil dibandingkan pendapatan tahun sebelumnya sebesar 117,3 miliar krona Swedia. Perusahaan ini mengklaim telah menguasai sekitar 25 persen pangsa pasar infrastruktur dan layanan telekomunikasi di seluruh dunia.",teknologi
"Google Mulai Wajibkan ""Powered by Android""",Reska K. Nistanto,"Jumat, 28 Maret 2014","KOMPAS.com - Google memang mendominasi pasar smartphone dengan sistem operasi Android-nya. Namun selama ini konsumen justru lebih mengenal merek vendor pembuat smartphone alih-alih sistem operasinya. Karena itu, Google berencana lebih mempopulerkan merek Android di semua perangkat-perangkat pengusungnya.

Dalam hal branding dan pemasaran, persaingan di sistem operasi mobile memang sedikit berbeda dibanding PC desktop. Jika pengguna ditanya sistem operasi apa yang mereka gunakan, mereka akan menjawab, Windows atau Mac OS.

Sementara di segmen mobile, jika pengguna perangkat Apple ditanya tentang sistem operasi apa yang mereka gunakan, beberapa akan menjawab iOS, namun lebih banyak yang mengatakannya sebagai iPhone atau iPad.

Begitu juga dengan Android. Walau sistem operasi ini paling banyak digunakan, konsumen lebih sering menyebut merek yang diusung vendor alih-alih sistem operasinya. Seperti Samsung dengan Galaxy S5, atau HTC One. Hal tersebut terjadi karena menurut Google mengizinkan vendor membuat antarmuka mereka sendiri di smartphone Android-nya, seperti TouchWiz dalam Samsung, atau Sense dalam HTC.

Unutk mengatasi hal tersebut, diberitakan oleh situs Geek.com (26/3/2014), Google meminta agar para vendor smartphone mencantumkan logo ""Powered by Android"" di perangkat-perangkat robot hijau yang diproduksi mereka.

Hal itu dilakukan untuk menghilangkan kebingungan di tengah pengguna, sebab Android memiliki banyak rekanan berbeda dan antarmukanya unik di tiap merek.

Google, HTC, dan Samsung memang belum memberikan konfirmasinya atas berita tersebut. Namun permintaan Google tersebut nampaknya benar adanya, sebab jika melihat HTC One M8 atau Galaxy S5 yang baru diluncurkan, keduanya mengusung tulisan ""Powered by Android"" di layar pembuka gadget mereka.

Kemunculan logo Android di semua perangkat yang mengusung sistem operasi Google ini mengingatkan kita akan brading yang dilakukan produsen chip Intel. Semua PC dekstop atau laptop yang menggunakan prosesor buatan Intel diwajibkan dipasangi logo ""Intel Inside"" di perangkatnya.

Apa keuntungan Google memasang brand Android? Setidaknya hal tersebut bisa mengurangi kebingungan di tengah-tengah pengguna.",teknologi
"Terlambat, Office untuk iPad Tetap Bisa Laris?",Reska K. Nistanto,"Jumat, 28 Maret 2014","KOMPAS.com - Setelah ditunda beberapa kali dan dianggap sudah terlambat, Microsoft akhirnya merilis aplikasi produktivitas Microsoft Office for iPad pada Kamis (27/3/2014). Pengumuman tersebut dilakukan oleh CEO baru Microsoft, Satya Nadella.

Office for iPad memiliki tiga layanan, yaitu Word, Excel, dan PowerPoint, minus layanan Outlook. Versi gratis hanya memungkinkan pengguna melihat dokumen, sementara untuk membuat file dan mengeditnya, pengguna harus berlangganan kepada layanan Microsoft.

Dengan menerapkan sistem berlangganan dalam tablet yang paling populer tersebut, mampukah Office for iPad memberikan kesuksesan bagi Microsoft? 

Jika Office for iPad diluncurkan dua tahun lalu, Gigaom memprediksi kondisinya pasti akan berbeda. Karena semenjak iPad melakukan debutnya di tahun 2010 lalu, banyak aplikasi produktivitas yang dibuat untuk tablet ini.

Misalnya, Apple sendiri memiliki layanan iWorks yang tersedia gratis di semua perangkat baru yang dibeli setelah September 2013. Aplikasi tersebut juga semakin ditingkatkan kemampuannya untuk berjalan di iPad.

Selain itu, masih ada pula aplikasi Office 2 Pro yang belakangan berubah namanya menjadi Office 2 HD dan kini menjadi Citrix ShareFile QuickEdit. Aplikasi ini bekerja dengan Google Docs dan memiliki fungsi yang bisa menyaingin aplikasi Microsoft.

Selain itu, masih banyak pula aplikasi produktivitas di platform iOS, seperti QuickOffice HD, Dataviz Documents to Go dan sebagainya. Pasar layanan aplikasi produktivitas kian ketat saat ini.

Dari segi penyimpanan, layanan-layanan rival Microsoft di platform iOS sendiri memiliki fleksibilitas, artinya bisa menyimpan file ke berbagai layanan cloud.

Office for iPad bekerja dengan layanan cloud milik Microsoft sendiri, yaitu OneDrive, atau sebelumnya disebut SkyDrive. Sementara layanan lain memiliki lebih banyak pilihan, seperti iCloud, Dropbox, Google Drive, Box, dan sebagainya. Maukah pemilik iPad menyimpan dokumennya di server Microsoft?

Namun, situs Engadget memiliki pandangan yang berbeda. Menurutnya, Office for iPad itu bukan ditujukan bagi pengguna iPad pada umumnya, melainkan menarget konsumen Office yang kebetulan memiliki iPad.

Hingga tiba nanti saatnya Microsoft menggratiskan Office for iPad, maka aplikasi-aplikasi produktivitas lain akan terus menjadi raja di platform iOS, karena mereka bisa digunakan tanpa harus berlangganan atau membayar.

Tidak ada orang yang mau membayar agar bisa menggunakan Office di iPad, kecuali mereka yang terlanjur menggantungkan diri kepada platform buatan Microsoft ini.",teknologi
